concept,frequency,num texts,tf-idf,corpus tf-idf,filename
understand,3,3,5.99565,5.99565,"pubmed_small#171,pubmed_small#34,pubmed_small#82"
derived,3,3,5.99565,5.99565,"pubmed_small#174,pubmed_small#240,pubmed_small#31"
interpretation,3,3,5.99565,5.99565,"pubmed_small#35,pubmed_small#73,pubmed_small#80"
improvement,3,3,5.99565,5.99565,"pubmed_small#165,pubmed_small#186,pubmed_small#24"
investigate,3,3,5.99565,5.99565,"pubmed_small#123,pubmed_small#228,pubmed_small#31"
diffusion,3,3,5.99565,5.99565,"pubmed_small#249,pubmed_small#266,pubmed_small#288"
mature,3,3,5.99565,5.99565,"pubmed_small#133,pubmed_small#185,pubmed_small#268"
implications,3,3,5.99565,5.99565,"pubmed_small#180,pubmed_small#263,pubmed_small#9"
met,3,3,5.99565,5.99565,"pubmed_small#181,pubmed_small#60,pubmed_small#79"
genomic,3,3,5.99565,5.99565,"pubmed_small#14,pubmed_small#295,pubmed_small#81"
correlates,3,3,5.99565,5.99565,"pubmed_small#106,pubmed_small#242,pubmed_small#258"
selected,3,3,5.99565,5.99565,"pubmed_small#158,pubmed_small#19,pubmed_small#96"
relation,3,3,5.99565,5.99565,"pubmed_small#13,pubmed_small#235,pubmed_small#75"
improves,3,3,5.99565,5.99565,"pubmed_small#113,pubmed_small#170,pubmed_small#25"
needs,3,3,5.99565,5.99565,"pubmed_small#110,pubmed_small#167,pubmed_small#181"
square,3,3,5.99565,5.99565,"pubmed_small#120,pubmed_small#266,pubmed_small#5"
find,3,3,5.99565,5.99565,"pubmed_small#106,pubmed_small#118,pubmed_small#294"
purified,3,3,5.99565,5.99565,"pubmed_small#281,pubmed_small#31,pubmed_small#80"
scan,3,3,5.99565,5.99565,"pubmed_small#259,pubmed_small#287,pubmed_small#44"
unit,3,3,5.99565,5.99565,"pubmed_small#216,pubmed_small#239,pubmed_small#43"
correlate,3,3,5.99565,5.99565,"pubmed_small#106,pubmed_small#133,pubmed_small#268"
characteristically,3,3,5.99565,5.99565,"pubmed_small#156,pubmed_small#178,pubmed_small#296"
sought,3,3,5.99565,5.99565,"pubmed_small#106,pubmed_small#166,pubmed_small#85"
routinely,3,3,5.99565,5.99565,"pubmed_small#158,pubmed_small#213,pubmed_small#70"
clark,3,3,5.99565,5.99565,"pubmed_small#158,pubmed_small#267,pubmed_small#74"
tl,3,3,5.99565,5.99565,"pubmed_small#164,pubmed_small#28,pubmed_small#281"
tm,3,3,5.99565,5.99565,"pubmed_small#11,pubmed_small#162,pubmed_small#218"
wj,3,3,5.99565,5.99565,"pubmed_small#283,pubmed_small#299,pubmed_small#91"
wh,3,3,5.99565,5.99565,"pubmed_small#106,pubmed_small#22,pubmed_small#62"
scans,3,3,5.99565,5.99565,"pubmed_small#166,pubmed_small#287,pubmed_small#62"
pr,3,3,5.99565,5.99565,"pubmed_small#169,pubmed_small#172,pubmed_small#225"
pg,3,3,5.99565,5.99565,"pubmed_small#103,pubmed_small#26,pubmed_small#69"
st,3,3,5.99565,5.99565,"pubmed_small#251,pubmed_small#283,pubmed_small#33"
sp,3,3,5.99565,5.99565,"pubmed_small#179,pubmed_small#18,pubmed_small#245"
sk,3,3,5.99565,5.99565,"pubmed_small#228,pubmed_small#267,pubmed_small#9"
sh,3,3,5.99565,5.99565,"pubmed_small#265,pubmed_small#287,pubmed_small#91"
sa,3,3,5.99565,5.99565,"pubmed_small#150,pubmed_small#259,pubmed_small#268"
rs,3,3,5.99565,5.99565,"pubmed_small#66,pubmed_small#79,pubmed_small#94"
rm,3,3,5.99565,5.99565,"pubmed_small#119,pubmed_small#139,pubmed_small#269"
rh,3,3,5.99565,5.99565,"pubmed_small#142,pubmed_small#173,pubmed_small#186"
rg,3,3,5.99565,5.99565,"pubmed_small#148,pubmed_small#15,pubmed_small#90"
lr,3,3,5.99565,5.99565,"pubmed_small#14,pubmed_small#260,pubmed_small#42"
ks,3,3,5.99565,5.99565,"pubmed_small#259,pubmed_small#285,pubmed_small#49"
stratification,3,3,5.99565,5.99565,"pubmed_small#190,pubmed_small#35,pubmed_small#36"
efficacy,3,3,5.99565,5.99565,"pubmed_small#231,pubmed_small#283,pubmed_small#33"
biologic,3,3,5.99565,5.99565,"pubmed_small#267,pubmed_small#71,pubmed_small#95"
sample,3,3,5.99565,5.99565,"pubmed_small#106,pubmed_small#138,pubmed_small#80"
obvious,3,3,5.99565,5.99565,"pubmed_small#143,pubmed_small#271,pubmed_small#96"
referred,3,3,5.99565,5.99565,"pubmed_small#155,pubmed_small#19,pubmed_small#79"
differential,3,3,5.99565,5.99565,"pubmed_small#104,pubmed_small#229,pubmed_small#259"
impairment,3,3,5.99565,5.99565,"pubmed_small#24,pubmed_small#3,pubmed_small#42"
pure,3,3,5.99565,5.99565,"pubmed_small#186,pubmed_small#249,pubmed_small#250"
caliber,3,3,5.99565,5.99565,"pubmed_small#126,pubmed_small#57,pubmed_small#7"
trial,3,3,5.99565,5.99565,"pubmed_small#112,pubmed_small#223,pubmed_small#25"
mixture,3,3,5.99565,5.99565,"pubmed_small#170,pubmed_small#228,pubmed_small#77"
clinic,3,3,5.99565,5.99565,"pubmed_small#119,pubmed_small#145,pubmed_small#155"
entire,3,3,5.99565,5.99565,"pubmed_small#130,pubmed_small#194,pubmed_small#28"
entity,3,3,5.99565,5.99565,"pubmed_small#187,pubmed_small#34,pubmed_small#71"
subcutaneous,3,3,5.99565,5.99565,"pubmed_small#216,pubmed_small#263,pubmed_small#85"
leukocyte,3,3,5.99565,5.99565,"pubmed_small#102,pubmed_small#46,pubmed_small#71"
quality,3,3,5.99565,5.99565,"pubmed_small#249,pubmed_small#294,pubmed_small#49"
premenopausal,3,3,5.99565,5.99565,"pubmed_small#123,pubmed_small#260,pubmed_small#65"
lee,3,3,5.99565,5.99565,"pubmed_small#142,pubmed_small#226,pubmed_small#65"
class,3,3,5.99565,5.99565,"pubmed_small#247,pubmed_small#28,pubmed_small#91"
extending,3,3,5.99565,5.99565,"pubmed_small#259,pubmed_small#287,pubmed_small#294"
implicated,3,3,5.99565,5.99565,"pubmed_small#195,pubmed_small#240,pubmed_small#245"
alteration,3,3,5.99565,5.99565,"pubmed_small#184,pubmed_small#216,pubmed_small#229"
conventional,3,3,5.99565,5.99565,"pubmed_small#125,pubmed_small#183,pubmed_small#191"
differ,3,3,5.99565,5.99565,"pubmed_small#15,pubmed_small#183,pubmed_small#258"
laevis,2,1,4.9513426,4.9513426,pubmed_small#266
structure,2,1,4.9513426,4.9513426,pubmed_small#184
alert,2,1,4.9513426,4.9513426,pubmed_small#181
projected,2,1,4.9513426,4.9513426,pubmed_small#289
planar,2,1,4.9513426,4.9513426,pubmed_small#28
placental,2,1,4.9513426,4.9513426,pubmed_small#20
pig,2,1,4.9513426,4.9513426,pubmed_small#285
postinfarction,2,1,4.9513426,4.9513426,pubmed_small#258
secreting,2,1,4.9513426,4.9513426,pubmed_small#269
collagenous,2,1,4.9513426,4.9513426,pubmed_small#133
eminence,2,1,4.9513426,4.9513426,pubmed_small#221
fell,2,1,4.9513426,4.9513426,pubmed_small#162
acrodermatitis,2,1,4.9513426,4.9513426,pubmed_small#206
mammatropes,2,1,4.9513426,4.9513426,pubmed_small#54
programs,2,1,4.9513426,4.9513426,pubmed_small#55
synthetase,2,1,4.9513426,4.9513426,pubmed_small#210
aga,2,1,4.9513426,4.9513426,pubmed_small#49
maxillary,2,1,4.9513426,4.9513426,pubmed_small#292
chloralose,2,1,4.9513426,4.9513426,pubmed_small#2
centre,2,1,4.9513426,4.9513426,pubmed_small#49
concomitant,2,1,4.9513426,4.9513426,pubmed_small#264
trachomatis,2,1,4.9513426,4.9513426,pubmed_small#119
deletions,2,1,4.9513426,4.9513426,pubmed_small#138
plasmodium,2,1,4.9513426,4.9513426,pubmed_small#77
minimally,2,1,4.9513426,4.9513426,pubmed_small#158
counterimmunoelectrophoresis,2,1,4.9513426,4.9513426,pubmed_small#157
spect,2,1,4.9513426,4.9513426,pubmed_small#28
hydrocephalus,2,1,4.9513426,4.9513426,pubmed_small#94
transnasal,2,1,4.9513426,4.9513426,pubmed_small#186
ergometer,2,1,4.9513426,4.9513426,pubmed_small#286
omp,2,1,4.9513426,4.9513426,pubmed_small#185
transmandibular,2,1,4.9513426,4.9513426,pubmed_small#293
aspects,2,1,4.9513426,4.9513426,pubmed_small#152
atp,2,1,4.9513426,4.9513426,pubmed_small#290
stools,2,1,4.9513426,4.9513426,pubmed_small#220
reflux,2,1,4.9513426,4.9513426,pubmed_small#22
device,2,1,4.9513426,4.9513426,pubmed_small#165
neuroticism,2,1,4.9513426,4.9513426,pubmed_small#258
apo,2,1,4.9513426,4.9513426,pubmed_small#169
dy,2,1,4.9513426,4.9513426,pubmed_small#112
pepper,2,1,4.9513426,4.9513426,pubmed_small#294
sampling,2,1,4.9513426,4.9513426,pubmed_small#192
shunts,2,1,4.9513426,4.9513426,pubmed_small#164
athymic,2,1,4.9513426,4.9513426,pubmed_small#95
roberts,2,1,4.9513426,4.9513426,pubmed_small#74
pheresis,2,1,4.9513426,4.9513426,pubmed_small#270
eating,2,1,4.9513426,4.9513426,pubmed_small#152
adrenalectomies,2,1,4.9513426,4.9513426,pubmed_small#96
multivessel,2,1,4.9513426,4.9513426,pubmed_small#42
accumulate,2,1,4.9513426,4.9513426,pubmed_small#267
tewl,2,1,4.9513426,4.9513426,pubmed_small#184
burgdorferi,2,1,4.9513426,4.9513426,pubmed_small#206
parous,2,1,4.9513426,4.9513426,pubmed_small#49
conjugate,2,1,4.9513426,4.9513426,pubmed_small#282
postinduction,2,1,4.9513426,4.9513426,pubmed_small#289
science,2,1,4.9513426,4.9513426,pubmed_small#53
mathematical,2,1,4.9513426,4.9513426,pubmed_small#84
ileostomy,2,1,4.9513426,4.9513426,pubmed_small#4
mucin,2,1,4.9513426,4.9513426,pubmed_small#194
intractable,2,1,4.9513426,4.9513426,pubmed_small#143
acyltransferase,2,1,4.9513426,4.9513426,pubmed_small#169
ophthalmoplegia,2,1,4.9513426,4.9513426,pubmed_small#94
monitored,2,1,4.9513426,4.9513426,pubmed_small#88
noncontact,2,1,4.9513426,4.9513426,pubmed_small#195
load,2,1,4.9513426,4.9513426,pubmed_small#142
epithelia,2,1,4.9513426,4.9513426,pubmed_small#35
carlsson,2,1,4.9513426,4.9513426,pubmed_small#130
immunosuppressive,2,1,4.9513426,4.9513426,pubmed_small#270
transforming,2,1,4.9513426,4.9513426,pubmed_small#202
lectin,2,1,4.9513426,4.9513426,pubmed_small#158
wisconsin,2,1,4.9513426,4.9513426,pubmed_small#31
excursion,2,1,4.9513426,4.9513426,pubmed_small#142
erythema,2,1,4.9513426,4.9513426,pubmed_small#206
dysmaturation,2,1,4.9513426,4.9513426,pubmed_small#24
threatening,2,1,4.9513426,4.9513426,pubmed_small#34
homing,2,1,4.9513426,4.9513426,pubmed_small#268
biomechanical,2,1,4.9513426,4.9513426,pubmed_small#142
antagonists,2,1,4.9513426,4.9513426,pubmed_small#67
myocytes,2,1,4.9513426,4.9513426,pubmed_small#3
multiparameter,2,1,4.9513426,4.9513426,pubmed_small#178
hemifacial,2,1,4.9513426,4.9513426,pubmed_small#166
shn,2,1,4.9513426,4.9513426,pubmed_small#54
survivor,2,1,4.9513426,4.9513426,pubmed_small#232
schwannoma,2,1,4.9513426,4.9513426,pubmed_small#64
nasolabial,2,1,4.9513426,4.9513426,pubmed_small#205
disuse,2,1,4.9513426,4.9513426,pubmed_small#4
keeler,2,1,4.9513426,4.9513426,pubmed_small#195
pharmacokinetics,2,1,4.9513426,4.9513426,pubmed_small#82
shortened,2,1,4.9513426,4.9513426,pubmed_small#285
fibroblast,2,1,4.9513426,4.9513426,pubmed_small#68
instrument,2,1,4.9513426,4.9513426,pubmed_small#57
noxious,2,1,4.9513426,4.9513426,pubmed_small#67
orthopedic,2,1,4.9513426,4.9513426,pubmed_small#223
degeneration,2,1,4.9513426,4.9513426,pubmed_small#185
autovein,2,1,4.9513426,4.9513426,pubmed_small#132
nonfunctioning,2,1,4.9513426,4.9513426,pubmed_small#269
calcification,2,1,4.9513426,4.9513426,pubmed_small#98
haematemesis,2,1,4.9513426,4.9513426,pubmed_small#220
monophosphate,2,1,4.9513426,4.9513426,pubmed_small#255
reacted,2,1,4.9513426,4.9513426,pubmed_small#125
ending,2,1,4.9513426,4.9513426,pubmed_small#242
prostaglandin,2,1,4.9513426,4.9513426,pubmed_small#221
serotonin,2,1,4.9513426,4.9513426,pubmed_small#247
margin,2,1,4.9513426,4.9513426,pubmed_small#45
apoptosis,2,1,4.9513426,4.9513426,pubmed_small#193
opsonic,2,1,4.9513426,4.9513426,pubmed_small#162
integrity,2,1,4.9513426,4.9513426,pubmed_small#163
secretions,2,1,4.9513426,4.9513426,pubmed_small#119
reminder,2,1,4.9513426,4.9513426,pubmed_small#213
gunshot,2,1,4.9513426,4.9513426,pubmed_small#53
abdominis,2,1,4.9513426,4.9513426,pubmed_small#287
fibroblasts,2,1,4.9513426,4.9513426,pubmed_small#226
reminded,2,1,4.9513426,4.9513426,pubmed_small#213
prolactinomas,2,1,4.9513426,4.9513426,pubmed_small#269
electrocardiography,2,1,4.9513426,4.9513426,pubmed_small#253
residents,2,1,4.9513426,4.9513426,pubmed_small#110
photofrin,2,1,4.9513426,4.9513426,pubmed_small#282
lined,2,1,4.9513426,4.9513426,pubmed_small#132
paracortical,2,1,4.9513426,4.9513426,pubmed_small#180
calcitonin,2,1,4.9513426,4.9513426,pubmed_small#67
unilobar,2,1,4.9513426,4.9513426,pubmed_small#296
coexpression,2,1,4.9513426,4.9513426,pubmed_small#269
consumed,2,1,4.9513426,4.9513426,pubmed_small#286
trophoblastic,2,1,4.9513426,4.9513426,pubmed_small#20
lymphocytoma,2,1,4.9513426,4.9513426,pubmed_small#206
hypercalcemic,2,1,4.9513426,4.9513426,pubmed_small#32
melanocyte,2,1,4.9513426,4.9513426,pubmed_small#239
postural,2,1,4.9513426,4.9513426,pubmed_small#64
pharmacology,2,1,4.9513426,4.9513426,pubmed_small#171
prominence,2,1,4.9513426,4.9513426,pubmed_small#108
retrovirus,2,1,4.9513426,4.9513426,pubmed_small#268
isosmotic,2,1,4.9513426,4.9513426,pubmed_small#4
infarct,2,1,4.9513426,4.9513426,pubmed_small#163
analytic,2,1,4.9513426,4.9513426,pubmed_small#73
perform,2,1,4.9513426,4.9513426,pubmed_small#126
yamaguchi,2,1,4.9513426,4.9513426,pubmed_small#117
cytarabine,2,1,4.9513426,4.9513426,pubmed_small#289
carcinogens,2,1,4.9513426,4.9513426,pubmed_small#245
deletion,2,1,4.9513426,4.9513426,pubmed_small#138
wavefronts,2,1,4.9513426,4.9513426,pubmed_small#266
inoculation,2,1,4.9513426,4.9513426,pubmed_small#85
streptococcus,2,1,4.9513426,4.9513426,pubmed_small#157
enhancement,2,1,4.9513426,4.9513426,pubmed_small#228
fcm,2,1,4.9513426,4.9513426,pubmed_small#178
cheek,2,1,4.9513426,4.9513426,pubmed_small#205
spasm,2,1,4.9513426,4.9513426,pubmed_small#166
somatotrophs,2,1,4.9513426,4.9513426,pubmed_small#269
subtype,2,1,4.9513426,4.9513426,pubmed_small#247
fluorodeoxyglucose,2,1,4.9513426,4.9513426,pubmed_small#163
adrenoreceptors,2,1,4.9513426,4.9513426,pubmed_small#255
kcal,2,1,4.9513426,4.9513426,pubmed_small#54
tms,2,1,4.9513426,4.9513426,pubmed_small#286
gallbladder,2,1,4.9513426,4.9513426,pubmed_small#25
discontinued,2,1,4.9513426,4.9513426,pubmed_small#120
glycosaminoglycans,2,1,4.9513426,4.9513426,pubmed_small#197
latex,2,1,4.9513426,4.9513426,pubmed_small#157
steps,2,1,4.9513426,4.9513426,pubmed_small#255
fsh,2,1,4.9513426,4.9513426,pubmed_small#20
bodies,2,1,4.9513426,4.9513426,pubmed_small#108
fna,2,1,4.9513426,4.9513426,pubmed_small#192
fnh,2,1,4.9513426,4.9513426,pubmed_small#70
spherules,2,1,4.9513426,4.9513426,pubmed_small#133
penetration,2,1,4.9513426,4.9513426,pubmed_small#100
residue,2,1,4.9513426,4.9513426,pubmed_small#53
sensitized,2,1,4.9513426,4.9513426,pubmed_small#80
encephalomyelitis,2,1,4.9513426,4.9513426,pubmed_small#285
effusion,2,1,4.9513426,4.9513426,pubmed_small#97
tonometer,2,1,4.9513426,4.9513426,pubmed_small#195
arterially,2,1,4.9513426,4.9513426,pubmed_small#132
implementation,2,1,4.9513426,4.9513426,pubmed_small#55
vasculature,2,1,4.9513426,4.9513426,pubmed_small#33
rectus,2,1,4.9513426,4.9513426,pubmed_small#287
resembling,2,1,4.9513426,4.9513426,pubmed_small#280
ventilatory,2,1,4.9513426,4.9513426,pubmed_small#170
poms,2,1,4.9513426,4.9513426,pubmed_small#286
suffer,2,1,4.9513426,4.9513426,pubmed_small#260
annihilation,2,1,4.9513426,4.9513426,pubmed_small#266
cambridge,2,1,4.9513426,4.9513426,pubmed_small#195
microaerosol,2,1,4.9513426,4.9513426,pubmed_small#195
coincident,2,1,4.9513426,4.9513426,pubmed_small#184
dopa,2,1,4.9513426,4.9513426,pubmed_small#239
cah,2,1,4.9513426,4.9513426,pubmed_small#138
cad,2,1,4.9513426,4.9513426,pubmed_small#136
blockade,2,1,4.9513426,4.9513426,pubmed_small#2
cdc,2,1,4.9513426,4.9513426,pubmed_small#77
character,2,1,4.9513426,4.9513426,pubmed_small#194
eligible,2,1,4.9513426,4.9513426,pubmed_small#213
streptococcal,2,1,4.9513426,4.9513426,pubmed_small#89
whr,2,1,4.9513426,4.9513426,pubmed_small#236
excitable,2,1,4.9513426,4.9513426,pubmed_small#266
papillary,2,1,4.9513426,4.9513426,pubmed_small#229
kwashiorkor,2,1,4.9513426,4.9513426,pubmed_small#169
ploidy,2,1,4.9513426,4.9513426,pubmed_small#100
cysts,2,1,4.9513426,4.9513426,pubmed_small#194
cks,2,1,4.9513426,4.9513426,pubmed_small#35
conservative,2,1,4.9513426,4.9513426,pubmed_small#62
minnesota,2,1,4.9513426,4.9513426,pubmed_small#31
phthalocyanine,2,1,4.9513426,4.9513426,pubmed_small#33
paresthesia,2,1,4.9513426,4.9513426,pubmed_small#51
outlet,2,1,4.9513426,4.9513426,pubmed_small#190
chiari,2,1,4.9513426,4.9513426,pubmed_small#94
vas,2,1,4.9513426,4.9513426,pubmed_small#170
benidipine,2,1,4.9513426,4.9513426,pubmed_small#38
mammographic,2,1,4.9513426,4.9513426,pubmed_small#112
intramuscularly,2,1,4.9513426,4.9513426,pubmed_small#223
optimal,2,1,4.9513426,4.9513426,pubmed_small#126
smart,2,1,4.9513426,4.9513426,pubmed_small#9
lecithin,2,1,4.9513426,4.9513426,pubmed_small#169
dynes,2,1,4.9513426,4.9513426,pubmed_small#132
bordetella,2,1,4.9513426,4.9513426,pubmed_small#125
tanaka,2,1,4.9513426,4.9513426,pubmed_small#166
adjusted,2,1,4.9513426,4.9513426,pubmed_small#79
dilatation,2,1,4.9513426,4.9513426,pubmed_small#203
aureus,2,1,4.9513426,4.9513426,pubmed_small#34
heterodimer,2,1,4.9513426,4.9513426,pubmed_small#249
vpl,2,1,4.9513426,4.9513426,pubmed_small#228
hanke,2,1,4.9513426,4.9513426,pubmed_small#273
megakaryocytes,2,1,4.9513426,4.9513426,pubmed_small#280
regenerated,2,1,4.9513426,4.9513426,pubmed_small#185
insipidus,2,1,4.9513426,4.9513426,pubmed_small#265
titrated,2,1,4.9513426,4.9513426,pubmed_small#281
homology,2,1,4.9513426,4.9513426,pubmed_small#202
creatinine,2,1,4.9513426,4.9513426,pubmed_small#220
lentigo,2,1,4.9513426,4.9513426,pubmed_small#204
epidermis,2,1,4.9513426,4.9513426,pubmed_small#184
genome,2,1,4.9513426,4.9513426,pubmed_small#295
migrans,2,1,4.9513426,4.9513426,pubmed_small#206
niddm,2,1,4.9513426,4.9513426,pubmed_small#236
hepatomegaly,2,1,4.9513426,4.9513426,pubmed_small#148
theoretic,2,1,4.9513426,4.9513426,pubmed_small#283
meperidine,2,1,4.9513426,4.9513426,pubmed_small#170
insular,2,1,4.9513426,4.9513426,pubmed_small#86
communication,2,1,4.9513426,4.9513426,pubmed_small#22
urea,2,1,4.9513426,4.9513426,pubmed_small#220
noticed,2,1,4.9513426,4.9513426,pubmed_small#239
endorphin,2,1,4.9513426,4.9513426,pubmed_small#240
agglutination,2,1,4.9513426,4.9513426,pubmed_small#157
harbored,2,1,4.9513426,4.9513426,pubmed_small#14
viruses,2,1,4.9513426,4.9513426,pubmed_small#195
haemophilus,2,1,4.9513426,4.9513426,pubmed_small#157
stabilization,2,1,4.9513426,4.9513426,pubmed_small#218
icsp,2,1,4.9513426,4.9513426,pubmed_small#202
bromodeoxyuridine,2,1,4.9513426,4.9513426,pubmed_small#273
cryoprecipitable,2,1,4.9513426,4.9513426,pubmed_small#162
inc,2,1,4.9513426,4.9513426,pubmed_small#195
microcomputer,2,1,4.9513426,4.9513426,pubmed_small#213
circumostial,2,1,4.9513426,4.9513426,pubmed_small#2
odontogenic,2,1,4.9513426,4.9513426,pubmed_small#56
seated,2,1,4.9513426,4.9513426,pubmed_small#73
megestrol,2,1,4.9513426,4.9513426,pubmed_small#191
hypothyroid,2,1,4.9513426,4.9513426,pubmed_small#117
polyunsaturated,2,1,4.9513426,4.9513426,pubmed_small#113
flail,2,1,4.9513426,4.9513426,pubmed_small#218
torre,2,1,4.9513426,4.9513426,pubmed_small#56
indices,2,1,4.9513426,4.9513426,pubmed_small#178
lipophilic,2,1,4.9513426,4.9513426,pubmed_small#28
atrophicans,2,1,4.9513426,4.9513426,pubmed_small#206
karyotyped,2,1,4.9513426,4.9513426,pubmed_small#178
immunoassays,2,1,4.9513426,4.9513426,pubmed_small#183
remodeling,2,1,4.9513426,4.9513426,pubmed_small#199
herpes,2,1,4.9513426,4.9513426,pubmed_small#202
envelope,2,1,4.9513426,4.9513426,pubmed_small#125
clonorchiasis,2,1,4.9513426,4.9513426,pubmed_small#7
pyriform,2,1,4.9513426,4.9513426,pubmed_small#35
stably,2,1,4.9513426,4.9513426,pubmed_small#226
spiral,2,1,4.9513426,4.9513426,pubmed_small#266
heterografts,2,1,4.9513426,4.9513426,pubmed_small#95
generated,2,1,4.9513426,4.9513426,pubmed_small#213
details,2,1,4.9513426,4.9513426,pubmed_small#166
estrone,2,1,4.9513426,4.9513426,pubmed_small#242
forensic,2,1,4.9513426,4.9513426,pubmed_small#53
perfusate,2,1,4.9513426,4.9513426,pubmed_small#256
agenesis,2,1,4.9513426,4.9513426,pubmed_small#22
dysplasias,2,1,4.9513426,4.9513426,pubmed_small#14
expandable,2,1,4.9513426,4.9513426,pubmed_small#299
blasts,2,1,4.9513426,4.9513426,pubmed_small#280
titers,2,1,4.9513426,4.9513426,pubmed_small#77
learning,2,1,4.9513426,4.9513426,pubmed_small#110
cyclic,2,1,4.9513426,4.9513426,pubmed_small#255
gallstones,2,1,4.9513426,4.9513426,pubmed_small#25
transfected,2,1,4.9513426,4.9513426,pubmed_small#226
cats,2,1,4.9513426,4.9513426,pubmed_small#228
gsr,2,1,4.9513426,4.9513426,pubmed_small#53
adenosine,2,1,4.9513426,4.9513426,pubmed_small#255
neuroepithelium,2,1,4.9513426,4.9513426,pubmed_small#185
chronica,2,1,4.9513426,4.9513426,pubmed_small#206
calories,2,1,4.9513426,4.9513426,pubmed_small#113
autotransplantation,2,1,4.9513426,4.9513426,pubmed_small#23
myelin,2,1,4.9513426,4.9513426,pubmed_small#285
lipolytic,2,1,4.9513426,4.9513426,pubmed_small#255
infused,2,1,4.9513426,4.9513426,pubmed_small#38
molecule,2,1,4.9513426,4.9513426,pubmed_small#102
inapparent,2,1,4.9513426,4.9513426,pubmed_small#192
proportion,2,1,4.9513426,4.9513426,pubmed_small#79
corn,2,1,4.9513426,4.9513426,pubmed_small#113
pedunculated,2,1,4.9513426,4.9513426,pubmed_small#16
aesthetic,2,1,4.9513426,4.9513426,pubmed_small#167
lymphoproliferative,2,1,4.9513426,4.9513426,pubmed_small#178
tumour,2,1,4.9513426,4.9513426,pubmed_small#156
cationic,2,1,4.9513426,4.9513426,pubmed_small#28
bladders,2,1,4.9513426,4.9513426,pubmed_small#27
indolent,2,1,4.9513426,4.9513426,pubmed_small#156
muir,2,1,4.9513426,4.9513426,pubmed_small#56
dentistry,2,1,4.9513426,4.9513426,pubmed_small#13
atherogenesis,2,1,4.9513426,4.9513426,pubmed_small#2
compensatory,2,1,4.9513426,4.9513426,pubmed_small#296
midforceps,2,1,4.9513426,4.9513426,pubmed_small#190
waist,2,1,4.9513426,4.9513426,pubmed_small#236
incomplete,2,1,4.9513426,4.9513426,pubmed_small#6
hypotheses,2,1,4.9513426,4.9513426,pubmed_small#71
endarterectomy,2,1,4.9513426,4.9513426,pubmed_small#203
atresia,2,1,4.9513426,4.9513426,pubmed_small#22
undiluted,2,1,4.9513426,4.9513426,pubmed_small#157
minute,2,1,4.9513426,4.9513426,pubmed_small#28
reducible,2,1,4.9513426,4.9513426,pubmed_small#142
supply,2,1,4.9513426,4.9513426,pubmed_small#152
hcc,2,1,4.9513426,4.9513426,pubmed_small#60
reporting,2,1,4.9513426,4.9513426,pubmed_small#258
biopsied,2,1,4.9513426,4.9513426,pubmed_small#79
lactotrophs,2,1,4.9513426,4.9513426,pubmed_small#269
performances,2,1,4.9513426,4.9513426,pubmed_small#73
display,2,1,4.9513426,4.9513426,pubmed_small#54
date,2,1,4.9513426,4.9513426,pubmed_small#57
tears,2,1,4.9513426,4.9513426,pubmed_small#195
litholytic,2,1,4.9513426,4.9513426,pubmed_small#25
affordable,2,1,4.9513426,4.9513426,pubmed_small#294
laboratories,2,1,4.9513426,4.9513426,pubmed_small#53
xenon,2,1,4.9513426,4.9513426,pubmed_small#73
boue,2,1,4.9513426,4.9513426,pubmed_small#138
unbranched,2,1,4.9513426,4.9513426,pubmed_small#2
viability,2,1,4.9513426,4.9513426,pubmed_small#163
thrombin,2,1,4.9513426,4.9513426,pubmed_small#284
noninvasive,2,1,4.9513426,4.9513426,pubmed_small#136
accelerated,2,1,4.9513426,4.9513426,pubmed_small#184
released,2,1,4.9513426,4.9513426,pubmed_small#221
powder,2,1,4.9513426,4.9513426,pubmed_small#281
partner,2,1,4.9513426,4.9513426,pubmed_small#119
vials,2,1,4.9513426,4.9513426,pubmed_small#221
adrenergic,2,1,4.9513426,4.9513426,pubmed_small#274
stimulate,2,1,4.9513426,4.9513426,pubmed_small#255
glaucoma,2,1,4.9513426,4.9513426,pubmed_small#276
temporal,2,1,4.9513426,4.9513426,pubmed_small#199
microv,2,1,4.9513426,4.9513426,pubmed_small#228
vitreous,2,1,4.9513426,4.9513426,pubmed_small#276
mbq,2,1,4.9513426,4.9513426,pubmed_small#164
antagonist,2,1,4.9513426,4.9513426,pubmed_small#285
interrupted,2,1,4.9513426,4.9513426,pubmed_small#100
forces,2,1,4.9513426,4.9513426,pubmed_small#110
effusions,2,1,4.9513426,4.9513426,pubmed_small#87
ascites,2,1,4.9513426,4.9513426,pubmed_small#148
extraadrenal,2,1,4.9513426,4.9513426,pubmed_small#120
sterol,2,1,4.9513426,4.9513426,pubmed_small#184
lifelong,2,1,4.9513426,4.9513426,pubmed_small#130
deflection,2,1,4.9513426,4.9513426,pubmed_small#228
molar,2,1,4.9513426,4.9513426,pubmed_small#282
adaptation,2,1,4.9513426,4.9513426,pubmed_small#160
conceptus,2,1,4.9513426,4.9513426,pubmed_small#242
luteinization,2,1,4.9513426,4.9513426,pubmed_small#20
chloroaluminum,2,1,4.9513426,4.9513426,pubmed_small#33
investigators,2,1,4.9513426,4.9513426,pubmed_small#245
karachi,2,1,4.9513426,4.9513426,pubmed_small#49
thymomas,2,1,4.9513426,4.9513426,pubmed_small#80
